sepal_length,sepal_width,petal_length,petal_width,species_pred,probability
5.5,2.5,4.0,1.3,versicolor,0.964268508975909
6.9,3.1,5.1,2.3,virginica,0.963151908718143
5.1,2.5,3.0,1.1,versicolor,0.9474530805086216
4.4,2.9,,0.2,setosa,0.48667904684511704
5.9,3.0,5.1,1.8,virginica,0.7495065505732348
5.5,3.5,1.3,0.2,setosa,0.9591214530454026
5.6,,3.6,1.3,versicolor,0.9486645430127436
6.5,3.0,5.2,2.0,virginica,0.9424006234780471
5.3,3.7,1.5,0.2,setosa,0.9640514369313798
5.1,3.4,1.5,,setosa,0.7688169169349032
6.1,2.8,4.0,1.3,versicolor,0.9767178431703807
5.5,2.4,3.7,1.0,versicolor,0.977056672649792
7.7,3.0,6.1,2.3,virginica,0.9583129998525945
6.9,3.1,4.9,1.5,versicolor,0.7498655836285778
6.0,2.2,5.0,1.5,versicolor,0.5990680806556828
